batch,trial,timestamp,params,val_accuracy,test_accuracy,log_loss,brier,train_accuracy,overfit_gap,walk_forward_acc,cv_mean_acc,cv_std_acc,cv_min_acc,cv_max_acc,cv_stability_ratio,cv_mean_log_loss
100,2,2026-06-15T15:54:12.579969,"{'n_estimators': 281, 'max_depth': 6, 'learning_rate': 0.03474141803841413, 'subsample': 0.6237031601012804, 'colsample_bytree': 0.6603659339037016, 'reg_alpha': 7.523007278366883, 'reg_lambda': 2.150824694735441, 'min_child_weight': 5, 'gamma': 0.225053803821611, 'tree_method': 'hist', 'device': 'cpu'}",5588.93,60.4845,0.8822,0.1728,68.3983,7.9138,0.0,58.6593,1.385,57.0118,60.4005,39.5011,0.8965
100,3,2026-06-15T15:54:22.867493,"{'n_estimators': 147, 'max_depth': 7, 'learning_rate': 0.010638677567436963, 'subsample': 0.8151104217433515, 'colsample_bytree': 0.6456547410044016, 'reg_alpha': 0.017318378015331468, 'reg_lambda': 0.03319264689273657, 'min_child_weight': 7, 'gamma': 0.42454935106678404, 'tree_method': 'hist', 'device': 'cpu'}",5594.52,60.3257,0.8998,0.1754,63.6634,3.3378,0.0,58.7564,1.4056,56.9244,60.3407,39.0242,0.9111
100,4,2026-06-15T15:54:26.278318,"{'n_estimators': 822, 'max_depth': 8, 'learning_rate': 0.22974327195071104, 'subsample': 0.5512583237742914, 'colsample_bytree': 0.5300359229257348, 'reg_alpha': 0.00023819475680296275, 'reg_lambda': 0.004643540094865242, 'min_child_weight': 8, 'gamma': 0.8615609110019621, 'tree_method': 'hist', 'device': 'cpu'}",57.1157,57.8237,1.0065,0.1916,98.9719,41.1482,0.0,55.0699,1.2796,53.3858,56.4854,39.9175,1.0497
100,4,2026-06-15T15:54:45.838949,"{'n_estimators': 822, 'max_depth': 8, 'learning_rate': 0.22974327195071104, 'subsample': 0.5512583237742914, 'colsample_bytree': 0.5300359229257348, 'reg_alpha': 0.00023819475680296275, 'reg_lambda': 0.004643540094865242, 'min_child_weight': 8, 'gamma': 0.8615609110019621, 'tree_method': 'hist', 'device': 'cpu'}",57.1157,57.8237,1.0065,0.1916,98.9719,41.1482,0.0,55.0699,1.2796,53.3858,56.4854,39.9175,1.0497
100,5,2026-06-15T15:55:46.389048,"{'n_estimators': 978, 'max_depth': 10, 'learning_rate': 0.014568079341730643, 'subsample': 0.937353710040157, 'colsample_bytree': 0.8079392493105925, 'reg_alpha': 0.004878094195225947, 'reg_lambda': 0.002904040130740702, 'min_child_weight': 6, 'gamma': 0.07153464714144253, 'tree_method': 'hist', 'device': 'cpu'}",5322.52,59.2534,0.9399,0.1815,99.9729,40.7196,0.0,56.9006,1.8377,54.7837,59.2648,29.3648,0.976
100,5,2026-06-15T15:56:02.607306,"{'n_estimators': 978, 'max_depth': 10, 'learning_rate': 0.014568079341730643, 'subsample': 0.937353710040157, 'colsample_bytree': 0.8079392493105925, 'reg_alpha': 0.004878094195225947, 'reg_lambda': 0.002904040130740702, 'min_child_weight': 6, 'gamma': 0.07153464714144253, 'tree_method': 'hist', 'device': 'cpu'}",5322.52,59.2534,0.9399,0.1815,99.9729,40.7196,0.0,56.9006,1.8377,54.7837,59.2648,29.3648,0.976
100,6,2026-06-15T15:57:07.824204,"{'n_estimators': 1877, 'max_depth': 6, 'learning_rate': 0.025775027469579076, 'subsample': 0.5271844284737748, 'colsample_bytree': 0.8060168325831198, 'reg_alpha': 0.009886921019759786, 'reg_lambda': 4.523659434623489, 'min_child_weight': 2, 'gamma': 0.3229123250788758, 'tree_method': 'hist', 'device': 'cpu'}",58.7287,58.062,0.9901,0.189,99.9594,41.8975,0.0,56.245,1.6951,54.3906,58.4877,31.3331,1.0142
100,6,2026-06-15T15:57:23.162652,"{'n_estimators': 1877, 'max_depth': 6, 'learning_rate': 0.025775027469579076, 'subsample': 0.5271844284737748, 'colsample_bytree': 0.8060168325831198, 'reg_alpha': 0.009886921019759786, 'reg_lambda': 4.523659434623489, 'min_child_weight': 2, 'gamma': 0.3229123250788758, 'tree_method': 'hist', 'device': 'cpu'}",58.7287,58.062,0.9901,0.189,99.9594,41.8975,0.0,56.245,1.6951,54.3906,58.4877,31.3331,1.0142
100,7,2026-06-15T15:57:28.000104,"{'n_estimators': 887, 'max_depth': 5, 'learning_rate': 0.28772114954487404, 'subsample': 0.6365695147798123, 'colsample_bytree': 0.9575892823537024, 'reg_alpha': 0.0005121451853375543, 'reg_lambda': 0.003617696036383864, 'min_child_weight': 8, 'gamma': 0.39226488209810306, 'tree_method': 'hist', 'device': 'cpu'}",5131.73,56.3542,1.1878,0.2104,100.0,43.6458,0.0,54.7143,1.6985,52.4683,56.575,30.4215,1.1955
100,7,2026-06-15T15:57:44.114386,"{'n_estimators': 887, 'max_depth': 5, 'learning_rate': 0.28772114954487404, 'subsample': 0.6365695147798123, 'colsample_bytree': 0.9575892823537024, 'reg_alpha': 0.0005121451853375543, 'reg_lambda': 0.003617696036383864, 'min_child_weight': 8, 'gamma': 0.39226488209810306, 'tree_method': 'hist', 'device': 'cpu'}",5131.73,56.3542,1.1878,0.2104,100.0,43.6458,0.0,54.7143,1.6985,52.4683,56.575,30.4215,1.1955
100,8,2026-06-15T15:57:46.341989,"{'n_estimators': 811, 'max_depth': 11, 'learning_rate': 0.12106127030246706, 'subsample': 0.9070037187873456, 'colsample_bytree': 0.9709538979924828, 'reg_alpha': 0.0030482706515663296, 'reg_lambda': 0.1900994466844349, 'min_child_weight': 8, 'gamma': 0.4054620345206711, 'tree_method': 'hist', 'device': 'cpu'}",59.5825,57.784,0.9622,0.185,99.8918,42.1078,0.0,56.53,1.4764,54.8274,58.428,35.8604,0.9768
100,8,2026-06-15T15:57:59.444746,"{'n_estimators': 811, 'max_depth': 11, 'learning_rate': 0.12106127030246706, 'subsample': 0.9070037187873456, 'colsample_bytree': 0.9709538979924828, 'reg_alpha': 0.0030482706515663296, 'reg_lambda': 0.1900994466844349, 'min_child_weight': 8, 'gamma': 0.4054620345206711, 'tree_method': 'hist', 'device': 'cpu'}",59.5825,57.784,0.9622,0.185,99.8918,42.1078,0.0,56.53,1.4764,54.8274,58.428,35.8604,0.9768
100,9,2026-06-15T15:58:08.617850,"{'n_estimators': 1645, 'max_depth': 11, 'learning_rate': 0.1684991535557539, 'subsample': 0.8021820872016432, 'colsample_bytree': 0.5653654841732761, 'reg_alpha': 0.18953144021353868, 'reg_lambda': 0.0022443017335970743, 'min_child_weight': 4, 'gamma': 0.9323470857474213, 'tree_method': 'hist', 'device': 'cpu'}",5372.14,58.8562,0.9263,0.1806,97.4567,38.6005,0.0,56.2974,1.288,55.0459,58.0693,40.5594,0.943
100,9,2026-06-15T15:58:23.567238,"{'n_estimators': 1645, 'max_depth': 11, 'learning_rate': 0.1684991535557539, 'subsample': 0.8021820872016432, 'colsample_bytree': 0.5653654841732761, 'reg_alpha': 0.18953144021353868, 'reg_lambda': 0.0022443017335970743, 'min_child_weight': 4, 'gamma': 0.9323470857474213, 'tree_method': 'hist', 'device': 'cpu'}",5372.14,58.8562,0.9263,0.1806,97.4567,38.6005,0.0,56.2974,1.288,55.0459,58.0693,40.5594,0.943
